2024-11-23 23:45:18.834 [info] Deleted uninstalled extension from disk bradlc.vscode-tailwindcss /Users/harshjain/.vscode/extensions/bradlc.vscode-tailwindcss-0.12.14
2024-11-24 00:51:15.815 [error] [network] #15: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_NETWORK_IO_SUSPENDED
2024-11-24 01:23:53.258 [error] [network] #20: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 02:10:29.423 [error] [network] #21: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 02:10:29.611 [error] [network] #23: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 02:27:10.626 [error] [network] #24: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 03:23:36.288 [error] [network] #27: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 03:23:36.289 [error] [network] #29: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 03:48:19.045 [error] [network] #31: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 03:48:19.045 [error] [network] #32: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 04:26:42.896 [error] [network] #34: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 04:26:42.896 [error] [network] #35: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 04:26:53.306 [error] [network] #30: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 05:55:18.204 [error] [network] #41: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 06:45:49.840 [error] [network] #44: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 07:13:36.784 [error] [network] #46: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_TIMED_OUT
2024-11-24 07:48:09.535 [error] [network] #50: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 08:27:18.830 [error] [network] #48: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_NETWORK_CHANGED
2024-11-24 08:27:18.831 [error] [network] #49: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_NETWORK_CHANGED
2024-11-24 08:27:20.463 [error] [network] #52: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_TIMED_OUT
2024-11-24 08:27:20.470 [error] [network] #53: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_INTERNET_DISCONNECTED
2024-11-24 08:27:21.850 [error] [network] #54: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_INTERNET_DISCONNECTED
2024-11-24 08:27:23.279 [error] [network] #55: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_INTERNET_DISCONNECTED
2024-11-24 08:34:27.588 [error] [network] #56: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_INTERNET_DISCONNECTED
2024-11-24 10:04:06.564 [error] [network] #105: https://vscode-sync.trafficmanager.net/v1/manifest - error GET net::ERR_NAME_NOT_RESOLVED
2024-11-24 10:04:08.848 [error] [network] #106: https://az764295.vo.msecnd.net/extensions/marketplace.json - error GET net::ERR_TIMED_OUT
2024-11-24 10:04:34.578 [error] [network] #107: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_NAME_NOT_RESOLVED
2024-11-24 10:04:34.579 [error] [network] #108: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_NAME_NOT_RESOLVED
2024-11-24 10:05:49.739 [error] [network] #110: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_NAME_NOT_RESOLVED
2024-11-24 10:05:49.741 [error] [network] #109: https://mobile.events.data.microsoft.com/OneCollector/1.0?cors=true&content-type=application/x-json-stream - error POST net::ERR_NAME_NOT_RESOLVED
